LABORATÓRIO	REGISTRO	EAN 1	PRODUTO	APRESENTAÇÃO
EMS S/A	1023506630093	7896004718804	ALPRAZOLAM	0,5 MG COM CT BL AL PLAS TRANS  X 30
EMS S/A	1023506630131	7896004710259	ALPRAZOLAM	1 MG COM CT BL AL PLAS TRANS X 20 
EMS S/A	1023506630158	7896004718828	ALPRAZOLAM	1 MG COM CT BL AL PLAS TRANS X 30
EMS S/A	1023506630204	7896004718842	ALPRAZOLAM	2 MG COM CT BL AL PLAS TRANS X 30
LABORATORIO TEUTO BRASILEIRO S/A	1037005450025	7896112139096	ALPRAZOLAM	1,0 MG COM CT BL AL PLAS TRANS X 30
LABORATORIO TEUTO BRASILEIRO S/A	1037005450092	7896112139034	ALPRAZOLAM	0,5 MG COM CT BL AL PLAS TRANS X 30
LABORATORIO TEUTO BRASILEIRO S/A	1037005450149	7896112139157	ALPRAZOLAM	2,0 MG COM CT BL AL PLAS TRANS X 30
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305510036	7896181919247	ALPRAZOLAM	0,5 MG COM CT BL AL PLAS TRANS X 30
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305510109	7896181919322	ALPRAZOLAM	1,0 MG COM CT BL AL PLAS TRANS X 30
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305510176	7896181919391	ALPRAZOLAM	2,0 MG COM CT BL AL PLAS TRANS X 30
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902900011	7895296280013	ALPRAZOLAM	0,25 MG COM CT BL AL PLAS TRANS X 20 
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902900054	7895296280082	ALPRAZOLAM	0,5 MG COM CT BL AL PLAS TRANS  X 30
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902900089	7895296280143	ALPRAZOLAM	1 MG COM CT BL AL PLAS TRANS X 30
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902900119	7895296280204	ALPRAZOLAM	2 MG COM CT BL AL PLAS TRANS X 30
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700590017	7898361885458	ALPRAZOLAM	0,25 MG COM CT BL AL AL X 20
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700590025	7898361885465	ALPRAZOLAM	0,25 MG COM CT BL AL AL X 30
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700590041	7898361885489	ALPRAZOLAM	0,5 MG COM CT BL AL AL X 20
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700590051	7898361885496	ALPRAZOLAM	0,5 MG COM CT BL AL AL X 30
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700590076	7898361885519	ALPRAZOLAM	1 MG COM CT BL AL AL X 20
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700590084	7898361885526	ALPRAZOLAM	1 MG COM CT BL AL AL X 30
LABORATÓRIOS BAGÓ DO BRASIL S/A	1562600210062	7898940448371	TRANQUINAL	0,5 MG COM CT BL AL PLAS TRANS X 30
LABORATÓRIOS BAGÓ DO BRASIL S/A	1562600210070	7898940448401	TRANQUINAL	1 MG COM CT BL AL PLAS TRANS X 30
LABORATÓRIOS BAGÓ DO BRASIL S/A	1562600210089	7898940448418	TRANQUINAL	2 MG COM CT BL AL PLAS TRANS X 30
ZYDUS NIKKHO FARMACÊUTICA LTDA	1565100240021	7898910350994	ALPRAZOLAM	0,5 MG COM CT STRIP AL/AL X 30
ZYDUS NIKKHO FARMACÊUTICA LTDA	1565100240031	7898910350963	ALPRAZOLAM	1 MG COM CT STRIP AL/AL X 30
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.	1781708670012	7891142115911	APRAZ	0,25 MG COM CT STRIP AL/AL X 30 
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.	1781708670020	7891142115935	APRAZ	0,5 MG COM CT STRIP AL/AL X 30
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.	1781708670039	7891142115959	APRAZ	1 MG COM CT STRIP AL/AL X 30
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.	1781708670047	7891142115973	APRAZ	2 MG COM CT STRIP AL/AL X 30
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910022	7908236800643	FRONTAL	0,25 MG COM CT BL AL PLAS TRANS X 30
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910049	7908236800650	FRONTAL	0,5 MG COM CT BL AL PLAS TRANS X 30
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910065	7908236800667	FRONTAL	1 MG COM CT BL AL PLAS TRANS X 30  
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910073	7908236800674	FRONTAL	2 MG COM CT FR VD AMB X 30
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910081	7908236800728	FRONTAL	0,5 MG COM  LIB PROL CT BL AL/AL X 30
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910091	7908236800735	FRONTAL	1 MG COM  LIB PROL CT BL AL/AL X 30
VIATRIS FARMACEUTICA DO BRASIL LTDA	1883000910103	7908236800742	FRONTAL	2 MG COM  LIB PROL CT BL AL/AL X 30
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832603190019	7897595901842	SOCIAN	50 MG COM CT BL AL PLAS PVC TRANS X 20
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832603190027	7897595901651	SOCIAN	200 MG COM CT BL AL PLAS PVC TRANS X 20
EUROFARMA LABORATORIOS S.A.	1004307270023	7891317001568	AMOXICILINA	50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + COP
LABORATORIO TEUTO BRASILEIRO S/A	1037004470121	7896112192008	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 15
LABORATORIO TEUTO BRASILEIRO S/A	1037004470189	7896112192060	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 500
GERMED FARMACEUTICA LTDA	1058308900038	7896004702216	AMOXICILINA	50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
RANBAXY FARMACÊUTICA LTDA	1235201860016	7897076906007	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 6
RANBAXY FARMACÊUTICA LTDA	1235201860024	7897076906014	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 20
RANBAXY FARMACÊUTICA LTDA	1235201860032	7897076908247	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 21
RANBAXY FARMACÊUTICA LTDA	1235201860040	7897076908254	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 30
RANBAXY FARMACÊUTICA LTDA	1235201860059	7897076906137	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 300
RANBAXY FARMACÊUTICA LTDA	1235201860067	7897076906144	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 600
RANBAXY FARMACÊUTICA LTDA	1235201860075	7897076906052	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 200
RANBAXY FARMACÊUTICA LTDA	1235201860083	7897076906045	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 500
RANBAXY FARMACÊUTICA LTDA	1235201860091	7897076906069	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 1000
RANBAXY FARMACÊUTICA LTDA	1235201860105	7897076913838	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 15
PRATI DONADUZZI & CIA LTDA	1256801470051	7898148298938	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 480
PRATI DONADUZZI & CIA LTDA	1256801470068	7898148298945	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 840
PRATI DONADUZZI & CIA LTDA	1256801470076	7899547502428	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 280 (EMB FRAC)
PRATI DONADUZZI & CIA LTDA	1256801560016	7898148298891	AMOXICILINA	50 MG/ML PO SUS OR CT FR VD AMB X 60 ML + COP
PRATI DONADUZZI & CIA LTDA	1256801560024	7898148298907	AMOXICILINA	50 MG/ML PO SUS OR CX 50 FR VD AMB X 60 ML + 50 COP
PRATI DONADUZZI & CIA LTDA	1256801560032	7898148298877	AMOXICILINA	50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + COP
PRATI DONADUZZI & CIA LTDA	1256801560040	7898148298884	AMOXICILINA	50 MG/ML PO SUS OR CX 50 FR VD AMB X 150 ML + 50 COP
LABORATÓRIOS BAGÓ DO BRASIL S/A	1562600200148	7898906376373	TRIFAMOX	1000 MG + 500 MG PO SOL INJ CT FA VD TRANS + DIL AMP VD TRANS X 5 ML
EUROFARMA LABORATORIOS S.A.	1004308020055	7891317189068	AMOXICILINA	875 MG COM REV CT STR AL X 20
EUROFARMA LABORATORIOS S.A.	1004311700010	7891317435431	SINOT	875 MG COM REV CT STR AL X 14
EUROFARMA LABORATORIOS S.A.	1004311700053	7891317104177	SINOT	875 MG COM REV CT STR AL X 20
EUROFARMA LABORATORIOS S.A.	1004311710016	7891317038274	SINOT	50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + COP
EUROFARMA LABORATORIOS S.A.	1004311710032	7891317435462	SINOT	80 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOS
GLAXOSMITHKLINE BRASIL LTDA	1010700760396	7896015527242	CLAVULIN	(80 + 11,4) MG/ML PO SUS OR CT FR VD TRANS X 140 ML + SER DOS
EMS S/A	1023504650038	7896004700458	AMOXICILINA	50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
EMS S/A	1023504650178	7896004705477	AMOXICILINA	100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
EMS S/A	1023506080042	7896004704593	AMOXICILINA	80 MG/ML PO SUS OR CT FR PLAS OPC X 100 ML + SER DOS
EMS S/A	1023511940038	7896004700496	AMOX-EMS	500 MG CAP DURA CT BL AL PLAS TRANS X 21
LABORATORIO TEUTO BRASILEIRO S/A	1037004470138	7896112192015	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC/PVDC TRANS X 21
LABORATORIO TEUTO BRASILEIRO S/A	1037005040102	7896112128052	AMOXICILINA	50 MG/ML PÓ SUS OR CT FR VD AMB X 150 ML + COP
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049702790018	7896006217305	AMOXICILINA	50 MG/ML  PO SUS CT FR VD AMB X 150 ML + COP
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057300760311	7896658001741	NOVOCILIN	50 MG/ML PÓ SUS OR CT FR VD AMB X 150 ML + SER DOS X 10 ML
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057300760328	7896658004124	NOVOCILIN	80 MG/ML PÓ SUS OR CT FR VD AMB X 100 ML + SER DOS X 10 ML
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305580018	7896181918363	AMOXICILINA	50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + SER DOS X 10 ML
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305910018	7896181918370	AMOXICILINA TRIIDRATADA	400 MG/ 5 ML PO SUS OR CT FR VD AMB X 100 ML + SER DOS X 10 ML
GERMED FARMACEUTICA LTDA	1058308910017	7896004709116	AMOXICILINA	80 MG/ML PO SUS OR CT FR PLAS OPC X 100 ML + SER DOS
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181900920031	7896472504138	AMOXICILINA TRIIDRATADA	50 MG/ML PO SUS OR CT FR VD AMB X 7,5 G (150 ML) + COP
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902650023	7896472512263	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 15
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902650031	7896472512270	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902650058	7896004786353	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 30
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902660029	7896472516896	OCYLIN	500 MG CAP DURA CT BL AL PLAS TRANS X 15
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902660037	7896472502080	OCYLIN	500 MG CAP DURA CT BL AL PLAS TRANS X 21
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902660053	7896004786360	OCYLIN	500 MG CAP DURA CT BL AL PLAS TRANS X 30
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181902950019	7895296193016	AMOXICILINA	875 MG COM REV CT BL AL AL X 14
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA	1181904780031	7896472520251	OCYLIN	50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
EMS SIGMA PHARMA LTDA	1356907200011	7894916501613	VELAMOX BD	80 MG/ML PO SUS OR CT FR PLAS OPC X 100 ML + SER DOS
EMS SIGMA PHARMA LTDA	1356907210074	7894916500951	VELAMOX	100 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
EMS SIGMA PHARMA LTDA	1356907220029	7894916501606	VELAMOX BD	875 MG COM REV CT BL AL AL X 14
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558401020011	7896714205731	AMOXICILINA	50 MG/ML PO SUS OR CT FR VD AMB X 150 ML + COP X 10 ML
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558401410055	7896714204079	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVDC TRANS X 15
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A	1558401410063	7896714207384	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVDC TRANS X 21
UNICHEM FARMACÊUTICA DO BRASIL LTDA	1564900030066	7898912189349	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 500
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304730027	7894916341196	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 15
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304730035	7894916144605	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304730051	7894916341202	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 30
LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA	1677304770037	7896004708157	POLIMOXIL	50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
EUROFARMA LABORATORIOS S.A.	1004307280029	7891317001667	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 30
EUROFARMA LABORATORIOS S.A.	1004307280037	7891317001636	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 21
EUROFARMA LABORATORIOS S.A.	1004308020012	7891317008406	AMOXICILINA	875 MG COM REV CT STR AL X 14 
GLAXOSMITHKLINE BRASIL LTDA	1010700030371	7896015556921	AMOXIL	500 MG CAP DURA CT BL AL PLAS TRANS X 15
GLAXOSMITHKLINE BRASIL LTDA	1010700030665	7896015556990	AMOXIL	500 MG CAP DURA CT BL AL PLAS TRANS X 21
GLAXOSMITHKLINE BRASIL LTDA	1010700030673	7896015557027	AMOXIL	500 MG CAP DURA CT BL AL PLAS TRANS X 30
GLAXOSMITHKLINE BRASIL LTDA	1010700030746	7896015591441	AMOXIL	50 MG/ML PO SUS OR CT FR VD TRANS X 150ML + COL
GLAXOSMITHKLINE BRASIL LTDA	1010700030754	7896015591458	AMOXIL	100 MG/ML PO SUS OR CT FR VD TRANS X 150ML + COL
EMS S/A	1023504550025	7896004700441	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 15
EMS S/A	1023504550033	7896004700427	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
EMS S/A	1023504550051	7896004718996	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 30
EMS S/A	1023506650027	7896004706382	AMOXICILINA	875 MG COM REV CT BL AL AL X 14
1FARMA INDUSTRIA FARMACEUTICA LTDA	1048101420013	7898075315029	AMOXICILINA TRIHIDRATADA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
1FARMA INDUSTRIA FARMACEUTICA LTDA	1048101420072	7898075315098	AMOXICILINA TRIHIDRATADA	50 MG/ML PO SUS OR CT FR PLAS TRANSL X 150 ML + COP
UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A	1049713590031	7896006230618	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 21
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057300760107	7896658001604	NOVOCILIN	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 15
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057300760271	7896658004148	NOVOCILIN	875 MG COM CT BL AL PLAS PVDC TRANS X 14
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057300760298	7896658004162	NOVOCILIN	875 MG COM CT BL AL PLAS PVDC TRANS X 20
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057300760352	7896658001635	NOVOCILIN	500 MG CAP DURA CT  BL AL PLAS PVC TRANS X 21
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305480013	7896181904175	AMOXICILINA TRI-HIDRATADA	875 MG COM CT BL AL PLAS TRANS X 14
GERMED FARMACEUTICA LTDA	1058308800025	7896004702247	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 15
GERMED FARMACEUTICA LTDA	1058308800033	7896004702223	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
GERMED FARMACEUTICA LTDA	1058308950027	7896004710501	AMOXICILINA	875 MG COM REV CT BL AL AL X 14
FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP	1103901300094	7895005801294	FURP - AMOXICILINA	500 MG CAP DURA CX 50 BL AL PLAS TRANS X 350
PRATI DONADUZZI & CIA LTDA	1256801470025	7898148298914	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
EMS SIGMA PHARMA LTDA	1356907210031	7894916500180	VELAMOX	50 MG/ML PO SUS OR CT FR PLAS OPC X 150 ML  + COP
CIMED INDUSTRIA S.A	1438100160032	7896523200965	AMOXIMED	500 MG CAP DURA CT BL AL PLAS TRANS X 21
CIMED INDUSTRIA S.A	1438100160131	7896523200958	AMOXIMED	50 MG/ML PO SUS OR CT FR PLAS TRANSL X 150 ML + COP
CIMED INDUSTRIA S.A	1438101100025	7896523208107	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
CIMED INDUSTRIA S.A	1438101110111	7896523208473	AMOXICILINA	50 MG/ML PO SUS OR CT FR PLAS TRANSL X 150 ML + COP
CIMED INDUSTRIA S.A	1438101110128	7896523212586	AMOXICILINA	50 MG/ML PO SUS OR CX 50 FR PLAS TRANSL X 150 ML + 50 COP
CIMED INDUSTRIA S.A	1438101110136	7896523227030	AMOXICILINA	50 MG/ML PO SUS OR CX 50 FR PLAS TRANSL X 60 ML + 50 COP
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700190027	7898361880972	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 21
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700190043	7898361880958	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 350
AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA	1516700190078	7898361886868	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS PVC TRANS X 350 (EMB FRAC)
UNICHEM FARMACÊUTICA DO BRASIL LTDA	1564900030023	7898912189097	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832600380011	7896422504119	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 15
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832600380021	7896422504133	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 30
SANOFI MEDLEY FARMACÊUTICA LTDA.	1832600380038	7896422504126	AMOXICILINA	500 MG CAP DURA CT BL AL PLAS TRANS X 21
EUROFARMA LABORATORIOS S.A.	1004310040041	7891317422042	AMOXICILINA + CLAVULANATO DE POTÁSSIO	875 MG + 125 MG COM REV CT FR VD AMB X 14
NOVARTIS BIOCIENCIAS S.A	1006811680104	7897595638595	AMOXICILINA + CLAVULANATO DE POTÁSSIO	(500+125) MG COM REV CT STR AL/AL X 12
NOVARTIS BIOCIENCIAS S.A	1006811680112	7897595638618	AMOXICILINA + CLAVULANATO DE POTÁSSIO	(500+125) MG COM REV CT STR AL/AL X 18
GLAXOSMITHKLINE BRASIL LTDA	1010700760507	7896015520380	CLAVULIN	(500 + 125) MG COM REV CT ENVOL BL AL PLAS PVC/PVDC TRANS X 30
GLAXOSMITHKLINE BRASIL LTDA	1010700760523	7896015510015	CLAVULIN	(875+ 125) MG COM REV CT ENVOL BL AL PLAS PVC/PVDC TRANS X 20
EMS S/A	1023505320015	7896004703404	AMOXICILINA + CLAVULANATO DE POTASSIO	500 MG + 125 MG COM REV CT BL AL AL X 12
EMS S/A	1023505320023	7896004703411	AMOXICILINA + CLAVULANATO DE POTASSIO	500 MG + 125 MG COM REV CT BL AL AL X 18 
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057302100041	7896658002922	NOVAMOX	875 MG + 125 MG COM REV CT FR VD AMB X 14 
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057302100058	7896658002939	NOVAMOX	875 MG + 125 MG COM REV CT FR VD AMB X 20
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305350012	7896181919452	AMOXICILINA + CLAVULANATO DE POTÁSSIO	875 MG + 125 MG COM REV CT FR VD AMB X 14
ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1057305350039	7896181919469	AMOXICILINA + CLAVULANATO DE POTÁSSIO	875 MG + 125 MG COM REV CT FR VD AMB X 20
RANBAXY FARMACÊUTICA LTDA	1235202730027	7897076922519	AMOXICILINA + CLAVULANATO DE POTÁSSIO	(500,0 + 125,0) MG COM REV CT ENVOL BL AL PLAS PVC/PVDC TRANS X 12
RANBAXY FARMACÊUTICA LTDA	1235202730035	7897076922533	AMOXICILINA + CLAVULANATO DE POTÁSSIO	(500,0 + 125,0) MG COM REV CT ENVOL BL AL PLAS PVC/PVDC TRANS X 18
RANBAXY FARMACÊUTICA LTDA	1235202730051	7897076922625	AMOXICILINA + CLAVULANATO DE POTÁSSIO	(500,0 + 125,0) MG COM REV CT ENVOL BL AL PLAS PVC/PVDC TRANS X 300
